                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3588,                0.99023,                0.97612,                0.43317,                0.33892,                0.33197,                0.19069,                 1.2911,                0.94099,                0.94892,               0.006634,               0.006634,               0.006634
                     36,                 1.3554,                0.98621,                0.97546,                0.44002,                0.33703,                0.33812,                0.19508,                 1.2829,                0.93464,                0.94714,               0.006535,               0.006535,               0.006535
                     37,                 1.3483,                0.98276,                0.97293,                0.44221,                0.33858,                0.33617,                0.19471,                 1.2819,                0.93373,                0.94826,               0.006436,               0.006436,               0.006436
                     38,                 1.3408,                0.97607,                0.97139,                0.45011,                0.34147,                0.34197,                0.19875,                 1.2763,                0.92397,                0.94598,               0.006337,               0.006337,               0.006337
                     39,                 1.3367,                0.96879,                0.96952,                0.45564,                0.33942,                 0.3426,                0.19784,                 1.2761,                0.92667,                 0.9464,               0.006238,               0.006238,               0.006238
                     40,                  1.339,                0.96916,                0.97021,                0.44493,                0.34013,                0.33832,                 0.1961,                  1.272,                0.92355,                0.94453,               0.006139,               0.006139,               0.006139
                     41,                 1.3345,                0.96068,                0.96906,                0.44271,                0.34434,                0.34222,                0.19968,                 1.2696,                0.92174,                0.94206,                0.00604,                0.00604,                0.00604
                     42,                 1.3234,                0.95227,                0.96772,                0.45709,                0.34421,                 0.3465,                0.20218,                 1.2645,                0.91743,                0.94169,               0.005941,               0.005941,               0.005941
                     43,                  1.332,                0.95659,                0.97015,                0.44626,                0.34329,                0.34633,                0.20164,                 1.2656,                0.91519,                0.94218,               0.005842,               0.005842,               0.005842
                     44,                 1.3275,                0.94889,                0.96837,                0.44531,                0.34696,                0.34684,                0.20161,                 1.2632,                0.91149,                0.94139,               0.005743,               0.005743,               0.005743
                     45,                  1.326,                0.95037,                0.96433,                0.47108,                0.34567,                0.34836,                0.20289,                 1.2644,                0.91171,                0.94194,               0.005644,               0.005644,               0.005644
                     46,                 1.3217,                0.94636,                0.96337,                0.45526,                0.34725,                0.34455,                 0.2012,                 1.2598,                0.91289,                0.94006,               0.005545,               0.005545,               0.005545
                     47,                 1.3186,                0.93902,                0.96376,                0.45749,                0.34507,                0.34798,                0.20413,                 1.2561,                0.90457,                0.94033,               0.005446,               0.005446,               0.005446
                     48,                 1.3084,                0.93205,                 0.9597,                0.46286,                0.34702,                 0.3513,                0.20475,                 1.2548,                0.90561,                0.94078,               0.005347,               0.005347,               0.005347
                     49,                 1.3015,                0.92454,                0.95938,                 0.4657,                0.34935,                0.35282,                0.20635,                 1.2499,                0.90151,                0.93882,               0.005248,               0.005248,               0.005248
                     50,                 1.2948,                0.92172,                0.95636,                0.46385,                0.35323,                0.35434,                0.20678,                 1.2516,                0.90035,                0.94002,               0.005149,               0.005149,               0.005149
                     51,                  1.296,                0.91634,                0.95926,                0.46536,                0.35265,                0.35377,                0.20621,                 1.2516,                0.90204,                0.93838,                0.00505,                0.00505,                0.00505
                     52,                 1.3036,                0.92356,                0.96077,                0.46991,                0.35164,                0.35622,                0.20843,                 1.2452,                0.89349,                0.93721,               0.004951,               0.004951,               0.004951
                     53,                 1.2939,                0.90956,                 0.9577,                0.46015,                0.35642,                0.35647,                0.20898,                 1.2436,                0.89753,                0.93619,               0.004852,               0.004852,               0.004852
                     54,                 1.2951,                0.91165,                 0.9553,                0.46719,                0.35219,                0.35699,                 0.2088,                 1.2445,                0.89587,                0.93638,               0.004753,               0.004753,               0.004753
                     55,                 1.2878,                0.91104,                0.95542,                0.47117,                0.35014,                0.35501,                0.20775,                 1.2449,                0.89568,                0.93675,               0.004654,               0.004654,               0.004654
                     56,                 1.2921,                0.90594,                0.95485,                0.46924,                0.35176,                0.35791,                0.20967,                 1.2372,                0.88883,                0.93474,               0.004555,               0.004555,               0.004555
                     57,                 1.2845,                 0.9036,                 0.9535,                0.47046,                0.35486,                0.36062,                0.21134,                 1.2393,                0.88754,                0.93555,               0.004456,               0.004456,               0.004456
                     58,                 1.2829,                0.89812,                0.95305,                0.47016,                0.35479,                 0.3601,                0.21203,                 1.2384,                0.88359,                0.93501,               0.004357,               0.004357,               0.004357
                     59,                 1.2797,                0.89571,                 0.9526,                0.47033,                0.35947,                0.36027,                0.21089,                 1.2382,                0.88701,                0.93516,               0.004258,               0.004258,               0.004258
                     60,                 1.2716,                0.88533,                0.94949,                0.47651,                0.35433,                0.36085,                0.21218,                 1.2407,                0.88711,                0.93604,               0.004159,               0.004159,               0.004159
                     61,                  1.265,                0.88531,                0.94833,                0.47832,                0.35494,                0.36276,                0.21371,                 1.2364,                0.88314,                0.93445,                0.00406,                0.00406,                0.00406
                     62,                 1.2728,                0.88296,                0.95031,                0.47566,                0.36121,                0.36342,                0.21459,                 1.2325,                0.88139,                0.93372,               0.003961,               0.003961,               0.003961
                     63,                 1.2737,                0.88573,                0.95219,                0.46823,                0.36542,                0.36355,                0.21406,                 1.2321,                 0.8824,                0.93308,               0.003862,               0.003862,               0.003862
                     64,                 1.2637,                0.87578,                 0.9477,                0.47999,                0.35897,                0.36584,                0.21574,                 1.2324,                0.87816,                0.93319,               0.003763,               0.003763,               0.003763
                     65,                 1.2619,                0.87267,                 0.9478,                0.47133,                0.35868,                0.36358,                0.21447,                 1.2321,                0.88123,                0.93297,               0.003664,               0.003664,               0.003664
                     66,                 1.2603,                0.87182,                 0.9458,                0.47182,                0.36426,                0.36621,                0.21574,                 1.2295,                0.87898,                0.93245,               0.003565,               0.003565,               0.003565
                     67,                  1.268,                 0.8783,                0.94753,                0.47822,                0.36205,                0.36667,                0.21637,                 1.2269,                0.87511,                0.93138,               0.003466,               0.003466,               0.003466
                     68,                 1.2612,                0.87053,                0.94771,                0.48391,                0.35995,                  0.368,                0.21702,                 1.2305,                0.87555,                0.93242,               0.003367,               0.003367,               0.003367
                     69,                 1.2527,                 0.8618,                 0.9449,                0.48022,                0.36608,                0.36845,                0.21664,                 1.2284,                0.87326,                0.93196,               0.003268,               0.003268,               0.003268
                     70,                 1.2538,                0.86342,                0.94557,                 0.4876,                0.35913,                0.36827,                0.21657,                 1.2279,                0.87129,                0.93203,               0.003169,               0.003169,               0.003169
                     71,                 1.2556,                 0.8616,                0.94327,                0.47641,                0.36549,                0.36923,                 0.2176,                 1.2275,                 0.8723,                0.93065,                0.00307,                0.00307,                0.00307
                     72,                 1.2505,                0.85534,                0.94226,                0.48001,                0.36673,                0.37049,                  0.218,                 1.2247,                0.87221,                0.93085,               0.002971,               0.002971,               0.002971
                     73,                 1.2513,                0.85422,                0.94531,                0.47982,                 0.3695,                0.37029,                0.21906,                 1.2227,                0.87086,                 0.9307,               0.002872,               0.002872,               0.002872
                     74,                 1.2417,                0.84866,                0.94185,                0.47869,                0.36802,                0.37138,                0.22035,                 1.2246,                0.87007,                0.93122,               0.002773,               0.002773,               0.002773
                     75,                 1.2427,                0.84816,                0.94656,                0.48249,                0.36126,                0.37031,                0.21863,                 1.2265,                0.86901,                0.93173,               0.002674,               0.002674,               0.002674
                     76,                 1.2398,                0.84213,                0.93984,                0.47902,                0.36584,                0.37102,                0.21933,                 1.2251,                0.87006,                0.93165,               0.002575,               0.002575,               0.002575
                     77,                 1.2366,                0.84297,                0.94244,                0.47765,                0.36557,                0.37173,                0.22023,                 1.2228,                0.86974,                0.93077,               0.002476,               0.002476,               0.002476
                     78,                 1.2403,                0.84192,                0.93833,                0.47689,                0.36707,                0.37168,                0.22004,                 1.2236,                0.86911,                0.93119,               0.002377,               0.002377,               0.002377
                     79,                 1.2319,                0.83913,                0.94044,                0.48273,                0.36595,                0.37254,                0.21984,                 1.2246,                0.87026,                0.93096,               0.002278,               0.002278,               0.002278
                     80,                 1.2354,                0.83828,                0.94019,                0.47646,                0.36916,                0.37176,                0.21977,                 1.2228,                0.86823,                0.93115,               0.002179,               0.002179,               0.002179
                     81,                 1.2236,                0.82715,                0.93991,                0.47687,                0.37381,                0.37234,                0.21997,                 1.2223,                0.86884,                 0.9305,                0.00208,                0.00208,                0.00208
                     82,                 1.2333,                0.83131,                0.93669,                0.49094,                0.36404,                 0.3724,                0.22057,                 1.2211,                0.86813,                0.92997,               0.001981,               0.001981,               0.001981
                     83,                 1.2318,                0.83144,                0.93923,                 0.4865,                0.36666,                0.37274,                0.22048,                 1.2198,                0.86783,                0.92996,               0.001882,               0.001882,               0.001882
                     84,                 1.2225,                0.82731,                0.93504,                0.48778,                0.36651,                 0.3722,                0.21987,                  1.221,                0.86684,                0.93027,               0.001783,               0.001783,               0.001783
                     85,                 1.2252,                0.82475,                0.93661,                0.48445,                0.36863,                 0.3733,                0.22051,                 1.2216,                0.86648,                0.93043,               0.001684,               0.001684,               0.001684
                     86,                 1.2248,                0.82495,                0.93722,                0.48843,                0.36879,                 0.3731,                0.22034,                 1.2194,                0.86748,                0.93004,               0.001585,               0.001585,               0.001585
                     87,                 1.2218,                0.81891,                0.93212,                0.49443,                0.36714,                0.37421,                0.22132,                 1.2192,                0.86658,                0.92967,               0.001486,               0.001486,               0.001486
                     88,                 1.2161,                0.81589,                0.93654,                0.48224,                0.37239,                0.37437,                0.22072,                 1.2185,                0.86633,                0.92921,               0.001387,               0.001387,               0.001387
                     89,                 1.2118,                0.81083,                0.93249,                0.48485,                0.36978,                0.37458,                0.22126,                 1.2192,                0.86697,                 0.9294,               0.001288,               0.001288,               0.001288
                     90,                 1.2085,                0.79724,                0.93909,                  0.492,                0.36346,                0.37316,                0.22039,                 1.2224,                0.86876,                   0.93,               0.001189,               0.001189,               0.001189
                     91,                 1.1987,                 0.7867,                0.93878,                0.48972,                0.36477,                0.37194,                0.22007,                  1.224,                0.86977,                 0.9304,                0.00109,                0.00109,                0.00109
                     92,                 1.1914,                0.77908,                0.93547,                0.49257,                0.36292,                0.37212,                0.21966,                 1.2246,                0.87032,                0.93073,               0.000991,               0.000991,               0.000991
                     93,                 1.1924,                0.77759,                0.93564,                0.49473,                0.36304,                0.37199,                0.21956,                 1.2251,                 0.8705,                0.93097,               0.000892,               0.000892,               0.000892
                     94,                  1.185,                0.76886,                0.93395,                0.49692,                0.36336,                0.37234,                0.21968,                 1.2265,                 0.8705,                0.93153,               0.000793,               0.000793,               0.000793
                     95,                 1.1832,                0.77073,                0.93159,                0.49506,                0.36194,                0.37239,                0.21995,                 1.2263,                0.87035,                0.93133,               0.000694,               0.000694,               0.000694
                     96,                 1.1847,                0.76851,                0.93406,                 0.4969,                0.36163,                0.37215,                0.21994,                 1.2265,                0.87101,                0.93145,               0.000595,               0.000595,               0.000595
                     97,                 1.1805,                0.76544,                0.93247,                0.49396,                0.36307,                0.37253,                0.21995,                 1.2264,                0.87245,                0.93133,               0.000496,               0.000496,               0.000496
                     98,                 1.1786,                0.76217,                0.93048,                0.49522,                0.36137,                0.37239,                0.21964,                  1.226,                0.87219,                0.93117,               0.000397,               0.000397,               0.000397
                     99,                  1.182,                  0.762,                0.93063,                0.48062,                0.33878,                0.34584,                0.20326,                  1.227,                0.87213,                0.93155,               0.000298,               0.000298,               0.000298
